Year,Month,Entry,Exit,Riders
2020,Jan,HY,SL, 146 
2020,Jan,HY,BF, 85 
2020,Jan,HY,HY, 16 
2020,Jan,HY,SH, 71 
2020,Jan,HY,UC, 156 
2020,Jan,HY,FM, 196 
2020,Jan,HY,CN, 29 
2020,Jan,HY,PH, 15 
2020,Jan,HY,WC, 18 
2020,Jan,HY,LF, 5 
2020,Jan,HY,OR, 4 
2020,Jan,HY,RR, 14 
2020,Jan,HY,OW, 26 
2020,Jan,HY,EM, 621 
2020,Jan,HY,MT, 579 
2020,Jan,HY,PL, 268 
2020,Jan,HY,CC, 272 
2020,Jan,HY,16, 113 
2020,Jan,HY,24, 52 
2020,Jan,HY,GP, 25 
2020,Jan,HY,BP, 32 
2020,Jan,HY,DC, 47 
2020,Jan,HY,CM, 4 
2020,Jan,HY,CV, 15 
2020,Jan,HY,ED, 63 
2020,Jan,HY,NC, 6 
2020,Jan,HY,WP, 18 
2020,Jan,HY,SS, 11 
2020,Jan,HY,SB, 11 
2020,Jan,HY,SO, 20 
2020,Jan,HY,MB, 5 
2020,Jan,HY,WD, 31 
2020,Jan,HY,OA, 7 
2020,Jan,HY,WS, 112 
2020,Jan,HY,ML, -   
2020,Jan,HY,BE, -   
2020,Jan,HY,PC, 7 
2020,Jan,HY,AN, 19 
2020,Jan,SH,RM, 7 
2020,Jan,SH,EN, 8 
2020,Jan,SH,EP, 70 
2020,Jan,SH,NB, 19 
2020,Jan,SH,BK, 46 
2020,Jan,SH,AS, 151 
2020,Jan,SH,MA, 169 
2020,Jan,SH,19, 76 
2020,Jan,SH,12, 71 
2020,Jan,SH,LM, 61 
2020,Jan,SH,FV, 65 
2020,Jan,SH,CL, 59 
2020,Jan,SH,SL, 83 
2020,Jan,SH,BF, 12 
2020,Jan,SH,HY, 62 
2020,Jan,SH,SH, 97 
2020,Jan,SH,UC, 10 
2020,Jan,SH,FM, 6 
2020,Jan,SH,CN, 8 
2020,Jan,SH,PH, 2 
2020,Jan,SH,WC, 2 
2020,Jan,SH,LF, 6 
2020,Jan,SH,OR, 12 
2020,Jan,SH,RR, 539 
2020,Jan,SH,OW, 421 
2020,Jan,SH,EM, 198 
2020,Jan,SH,MT, 237 
2020,Jan,SH,PL, 84 
2020,Jan,SH,CC, 44 
2020,Jan,SH,16, 15 
2020,Jan,SH,24, 18 
2020,Jan,SH,GP, 27 
2020,Jan,SH,BP, 4 
2020,Jan,SH,DC, 13 
2020,Jan,SH,CM, 35 
2020,Jan,SH,CV, 1 
2020,Jan,SH,ED, 5 
2020,Jan,SH,NC, 6 
2020,Jan,SH,WP, 6 
2020,Jan,SH,SS, 19 
2020,Jan,SH,SB, 5 
2020,Jan,SH,SO, 19 
2020,Jan,SH,MB, 5 
2020,Jan,SH,WD, 86 
2020,Jan,SH,OA, -   
2020,Jan,SH,WS, -   
2020,Jan,SH,ML, 4 
2020,Jan,SH,BE, 5 
2020,Jan,SH,PC, 17 
2020,Jan,SH,AN, 22 
2020,Jan,UC,RM, 15 
2020,Jan,UC,EN, 19 
2020,Jan,UC,EP, 120 
2020,Jan,UC,NB, 34 
2020,Jan,UC,BK, 75 
2020,Jan,UC,AS, 205 
2020,Jan,UC,MA, 229 
2020,Jan,UC,19, 108 
2020,Jan,UC,12, 74 
2020,Jan,UC,LM, 48 
2020,Jan,UC,FV, 74 
2020,Jan,UC,CL, 77 
2020,Jan,UC,SL, 159 
2020,Jan,UC,BF, 62 
2020,Jan,UC,HY, 18 
2020,Jan,UC,SH, 233 
2020,Jan,UC,UC, 17 
2020,Jan,UC,FM, 12 
2020,Jan,UC,CN, 15 
2020,Jan,UC,PH, 4 
2020,Jan,UC,WC, 2 
2020,Jan,UC,LF, 10 
2020,Jan,UC,OR, 13 
2020,Jan,UC,RR, 970 
2020,Jan,UC,OW, 772 
2020,Jan,UC,EM, 267 
2020,Jan,UC,MT, 297 
2020,Jan,UC,PL, 87 
2020,Jan,UC,CC, 40 
