Year,Month,Entry,Exit,Riders
2009,Jan,CL,MA, 190 
2009,Jan,CL,19, 183 
2009,Jan,CL,12, 346 
2009,Jan,CL,LM, 235 
2009,Jan,CL,FV, 283 
2009,Jan,CL,CL, 9 
2009,Jan,CL,SL, 164 
2009,Jan,CL,BF, 221 
2009,Jan,CL,HY, 243 
2009,Jan,CL,SH, 116 
2009,Jan,CL,UC, 122 
2009,Jan,CL,FM, 204 
2009,Jan,CL,CN, 75 
2009,Jan,CL,PH, 61 
2009,Jan,CL,WC, 61 
2009,Jan,CL,LF, 33 
2009,Jan,CL,OR, 25 
2009,Jan,CL,RR, 66 
2009,Jan,CL,OW, 99 
2009,Jan,CL,EM, 538 
2009,Jan,CL,MT, 385 
2009,Jan,CL,PL, 448 
2009,Jan,CL,CC, 346 
2009,Jan,CL,16, 124 
2009,Jan,CL,24, 111 
2009,Jan,CL,GP, 56 
2009,Jan,CL,BP, 75 
2009,Jan,CL,DC, 90 
2009,Jan,CL,CM, 22 
2009,Jan,CL,CV, 50 
2009,Jan,CL,ED, 252 
2009,Jan,CL,NC, 20 
2009,Jan,CL,WP, 109 
2009,Jan,CL,SS, 24 
2009,Jan,CL,SB, 25 
2009,Jan,CL,SO, 31 
2009,Jan,CL,MB, 33 
2009,Jan,SL,RM, 39 
2009,Jan,SL,EN, 62 
2009,Jan,SL,EP, 26 
2009,Jan,SL,NB, 28 
2009,Jan,SL,BK, 162 
2009,Jan,SL,AS, 48 
2009,Jan,SL,MA, 112 
2009,Jan,SL,19, 212 
2009,Jan,SL,12, 360 
2009,Jan,SL,LM, 251 
2009,Jan,SL,FV, 263 
2009,Jan,SL,CL, 158 
2009,Jan,SL,SL, 7 
2009,Jan,SL,BF, 103 
2009,Jan,SL,HY, 180 
2009,Jan,SL,SH, 79 
2009,Jan,SL,UC, 66 
2009,Jan,SL,FM, 96 
2009,Jan,SL,CN, 31 
2009,Jan,SL,PH, 19 
2009,Jan,SL,WC, 22 
2009,Jan,SL,LF, 6 
2009,Jan,SL,OR, 12 
2009,Jan,SL,RR, 18 
2009,Jan,SL,OW, 33 
2009,Jan,SL,EM, 718 
2009,Jan,SL,MT, 616 
2009,Jan,SL,PL, 342 
2009,Jan,SL,CC, 349 
2009,Jan,SL,16, 71 
2009,Jan,SL,24, 55 
2009,Jan,SL,GP, 31 
2009,Jan,SL,BP, 51 
2009,Jan,SL,DC, 50 
2009,Jan,SL,CM, 11 
2009,Jan,SL,CV, 39 
2009,Jan,SL,ED, 121 
2009,Jan,SL,NC, 4 
2009,Jan,SL,WP, 29 
2009,Jan,SL,SS, 10 
2009,Jan,SL,SB, 18 
2009,Jan,SL,SO, 28 
2009,Jan,SL,MB, 9 
2009,Jan,BF,RM, 33 
2009,Jan,BF,EN, 51 
2009,Jan,BF,EP, 16 
2009,Jan,BF,NB, 17 
2009,Jan,BF,BK, 142 
2009,Jan,BF,AS, 47 
2009,Jan,BF,MA, 116 
2009,Jan,BF,19, 212 
2009,Jan,BF,12, 386 
2009,Jan,BF,LM, 239 
2009,Jan,BF,FV, 268 
2009,Jan,BF,CL, 218 
2009,Jan,BF,SL, 106 
2009,Jan,BF,BF, 8 
2009,Jan,BF,HY, 194 
2009,Jan,BF,SH, 135 
2009,Jan,BF,UC, 152 
2009,Jan,BF,FM, 262 
2009,Jan,BF,CN, 29 
2009,Jan,BF,PH, 8 
2009,Jan,BF,WC, 17 
2009,Jan,BF,LF, 9 
2009,Jan,BF,OR, 5 
2009,Jan,BF,RR, 23 
2009,Jan,BF,OW, 47 
2009,Jan,BF,EM, 652 
2009,Jan,BF,MT, 558 
